date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:08:28	719267/719267	---M-Z	200	added ('OK')	text/html	date:Thu,%2025%20Jul%202024%2023:04:15%20GMT	https://www.drivco-wp.egenslab.com/	C:/Users/ACER/Desktop/BHIGITAL%20AGENCY/kinging%20logistics%20and%20automobile%20limited/www.drivco-wp.egenslab.com/index.html	(from )
13:08:29	0/0	---M--	200	added ('OK')	text/plain	etag:%22654cf06b-0%22	https://www.drivco-wp.egenslab.com/robots.txt		(from )
13:08:30	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2025%20Jul%202024%2023:04:17%20GMT	https://drivco-wp.b-cdn.net/wp-content/plugins/yith-woocommerce-wishlist/assets/css/jquery.selectBox.css?ver=1.2.0	C:/Users/ACER/Desktop/BHIGITAL%20AGENCY/kinging%20logistics%20and%20automobile%20limited/drivco-wp.b-cdn.net/wp-content/plugins/yith-woocommerce-wishlist/assets/css/jquery.selectBox.17359.delayed	(from https://www.drivco-wp.egenslab.com/)
13:08:31	40258/40258	---MC-	200	added ('OK')	application/rss+xml	etag:%22e9448b609280527ac2734bd5fe290a44%22	https://www.drivco-wp.egenslab.com/feed/	C:/Users/ACER/Desktop/BHIGITAL%20AGENCY/kinging%20logistics%20and%20automobile%20limited/www.drivco-wp.egenslab.com/feed/index.html	(from https://www.drivco-wp.egenslab.com/)
13:08:32	2630/2630	---MCZ	200	added ('OK')	text/css	etag:W/%2265a7a6cb-a46%22	https://drivco-wp.egenslab.com/wp-content/plugins/yith-woocommerce-wishlist/assets/css/jquery.selectBox.css?ver=1.2.0	C:/Users/ACER/Desktop/BHIGITAL%20AGENCY/kinging%20logistics%20and%20automobile%20limited/drivco-wp.egenslab.com/wp-content/plugins/yith-woocommerce-wishlist/assets/css/jquery.selectBox7359.css	(from https://www.drivco-wp.egenslab.com/)
13:08:32	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2025%20Jul%202024%2023:04:19%20GMT	https://drivco-wp.b-cdn.net/wp-content/plugins/yith-woocommerce-wishlist/assets/css/font-awesome.css?ver=4.7.0	C:/Users/ACER/Desktop/BHIGITAL%20AGENCY/kinging%20logistics%20and%20automobile%20limited/drivco-wp.b-cdn.net/wp-content/plugins/yith-woocommerce-wishlist/assets/css/font-awesome1849.css	(from https://www.drivco-wp.egenslab.com/)
13:08:32	6392/6392	---MC-	200	added ('OK')	application/rss+xml	etag:%22e9448b609280527ac2734bd5fe290a44%22	https://www.drivco-wp.egenslab.com/comments/feed/	C:/Users/ACER/Desktop/BHIGITAL%20AGENCY/kinging%20logistics%20and%20automobile%20limited/www.drivco-wp.egenslab.com/comments/feed/index.html	(from https://www.drivco-wp.egenslab.com/)
13:08:33	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2025%20Jul%202024%2023:04:20%20GMT	http://www.drivco-wp.egenslab.com/wp-content/plugins/woocommerce/assets/css/prettyPhoto.css?ver=3.1.6	C:/Users/ACER/Desktop/BHIGITAL%20AGENCY/kinging%20logistics%20and%20automobile%20limited/www.drivco-wp.egenslab.com/wp-content/plugins/woocommerce/assets/css/prettyPhoto.5005e.delayed	(from https://www.drivco-wp.egenslab.com/)
13:08:33	30584/30584	---MCZ	200	added ('OK')	text/css	etag:W/%2265a7a6cb-778b%22	https://drivco-wp.egenslab.com/wp-content/plugins/yith-woocommerce-wishlist/assets/css/font-awesome.css?ver=4.7.0	C:/Users/ACER/Desktop/BHIGITAL%20AGENCY/kinging%20logistics%20and%20automobile%20limited/drivco-wp.egenslab.com/wp-content/plugins/yith-woocommerce-wishlist/assets/css/font-awesome1849.css	(from https://www.drivco-wp.egenslab.com/)
13:08:33	9234/9234	---MCZ	200	added ('OK')	text/css	etag:W/%2265d35286-2412%22	https://www.drivco-wp.egenslab.com/wp-content/plugins/woocommerce/assets/css/prettyPhoto.css?ver=3.1.6	C:/Users/ACER/Desktop/BHIGITAL%20AGENCY/kinging%20logistics%20and%20automobile%20limited/www.drivco-wp.egenslab.com/wp-content/plugins/woocommerce/assets/css/prettyPhoto005e.css	(from https://www.drivco-wp.egenslab.com/)
